#兼容所有拼音类型的公共简码库
a	啊|哎|按|爱|安|暗
b	吧|不|被|把|比|变
c	从|次|才|出|成|处
d	的|打|都|到|大|点
e	二|而|额|恶|饿|恩
f	发|非|分|放|反|飞
g	个|管|过|给|更|高
h	和|化|好|后|会|还
i	出|初|除|处|触|储
j	就|见|将|经|加|叫
k	可|块|看|开|快|卡
l	了|立|来|里|老|乐
m	没|嘛|么|们|买|面
n	你|哪|那|能|年|内
o	哦|噢|偶|殴|沤|怄
p	屁|平|跑|怕|片|评
q	去|期|起|前|钱|全
r	人|入|日|让|如|热
s	三|随|是|说|上|死
t	他|它|她|听|太|头
u	是|时|事|实|十|使
v	这|之|中|真|找|知
w	我|位|为|完|问|无
x	下|小|想|先|新|行
y	一|又|有|要|用|以
z	在|子|做|最|走|自
gj	感觉|根据|关键|工具|国际|估计
jd	觉得|简单|绝对|决定|季度|节点
ky	可以|开业|科研|客运|考验|刻意
my	没有|美元|免疫|贸易|满意|每月
zj	自己|最近|资金|再见|增加|直接
ad	阿杜|挨打|安定|奥迪|案底|暗道
aj	按键|案件|安检|安静|暗礁|爱将
ap	安排|爱普|阿婆|安培|挨批|爱跑
aq	安全|爱情|按期|案情|安庆|傲气
at	艾特|奥体|凹凸|安泰|阿太|暗探
av	按照|安装|澳洲|挨着|暗战|暗自
ay	阿姨|哎呀|安逸|奥运|暗语|哀怨
bb	并不|宝贝|版本|爸爸|报表|背包
bd	不但|报道|不到|变动|本地|绑定
bp	不怕|奔跑|别怕|半票|爆棚|摆平
bq	并且|版权|标签|抱歉|本期|不强
br	比如|别人|不如|不然|本日|八日
bu	不是|表示|不少|部署|不说|补水
bt	不同|标题|半天|摆脱|变态|补贴
bv	帮助|标准|步骤|不再|部长|不在
bw	本文|把握|并未|本位|百万|保温
cd	菜单|承担|程度|传递|长度|彻底
cm	层面|聪明|村民|草莓|侧面|尺码
cn	才能|处女|承诺|产能|常年|场内
cq	采取|此前|从前|长期|存取|重庆
ct	从头|辞退|传统|冲突|春天|出头
cw	财务|错误|常务|成为|车位|窗外
cx	才行|操心|程序|创新|出现|撤销
cy	参与|采用|产业|成员|成员|常用
cz	操作|存在|创造|处置|财政|产值
dd	得到|到底|等待|地点|到达|订单
df	地方|对方|大幅|答复|东方|巅峰
dn	电脑|都能|当年|大脑|党内|东南
dt	地铁|动态|代替|当天|大厅|带头
eb	而不|耳边|二本|恶报|耳背|恶霸
ec	二次|恩赐
ed	耳朵|额度|而当|恶毒|二代|耳东
ef	而非|二分|耳房|二房
eh	恶化|而后|耳环|二号|二婚
ek	儿科|耳科|而况|俄克
el	二楼|恶劣|饿了|而来|二老|耳聋
ep	恶评|耳屏
eq	而且|二期|恩情|恶气|耳其|二汽
es	耳塞|饿死|二三|儿孙|二十|二手
et	儿童|额头|二套|耳套
eu	而是|二手|恩师|而上|耳熟
ev	二战|二者|而这|遏制|恩准|恶战
ew	而我|额外|俄乌|恶物|耳闻
ex	恶心|儿媳|儿戏|二线|二选
ey	而已|鳄鱼|恩怨|二月|二姨
ez	儿子|恩泽|二组|耳坠
fc	讽刺|风采|发财|反超|分寸|房产
fd	反对|辅导|否定|发呆|分店|房东
fe	份额|反而|飞蛾|非恩|复额
fi	非常|分成|发出|方程|反查|房产
fk	反馈|分开|罚款|访客|疯狂|防控
fl	分类|法律|分离|福利|费率|分流
fm	方面|发明|繁忙|父母|封面|负面
fn	烦恼|肥牛|愤怒|妇女|分内|非农
fp	分配|发票|肥胖|分批|扶贫|废品
fq	放弃|夫妻|风情|发起|分区|分期
fr	否认|法人|肥肉|凡人|放入|反而
fs	放松|发送|反思|发生|方式|粉丝
ft	法庭|发帖|繁体|分摊|法条|饭堂
fv	分钟|反正|反之|负责|发展|分支
fw	范围|风味|防伪|服务|访问|发文
fx	发现|分享|放心|分析|风险|方向
fy	翻译|反应|反映|发炎|费用|法院
gc	刚才|光彩|工厂|观察|构成|工程
gi	过程|给出|观察|国产|构成|改成
gm	感冒|干嘛|规模|购买|股民|光芒
gn	功能|观念|过年|概念|国内|给你
gq	歌曲|过期|过去|感情|股权|钢琴
gt	沟通|共同|高铁|跟帖|柜台|国土
gx	更新|共享|高效|各项|关系|高兴
hc	缓存|很惨|候车|花草|画册|喝茶
hi	好吃|好处|很长|还差|黑车|昏沉
hm	后面|好吗|很忙|黑马|红木|号码
hn	很难|还能|湖南|海南|华南|河南
hq	获取|行情|后期|好奇|回去|豪强
ht	话题|合同|还挺|航天|后台|海淘
hx	还行|好像|或许|核心|候选|呼吸
ic	川菜|储存|炒菜|出错|车次|揣测
im	充满|车门|吃面|揣摩|超卖|重码
in	承诺|车内|常年|成年|吵闹|吹牛
iq	重庆|出去|重启|春秋|产权|抽签
it	传统|冲突|春天|出头|床头|拆台
iw	成为|宠物|车位|传闻|窗外|臭味
ix	程序|出现|撤销|初夏|城乡|产销
iz	创造|创作|车子|炒作|重组|趁早
ja	骄傲|煎熬|教案|结案|加安|建安
jb	进步|脚本|句柄|基本|加班|局部
je	金额|进而|饥饿|杰尔|皆而
jf	减肥|积分|缴费|降幅|经费|交付
jg	价格|结果|尽管|纠葛|经过|几个
jh	计划|就会|几乎|精华|集合|机会
jj	解决|奖金|渐渐|捷径|经济|积极
jk	接口|均可|惊恐|健康|进口|尽快
jl	经历|决裂|眷恋|建立|交流|距离
jv	简直|纠正|矩阵|极致|价值|机制
jz	就在|节奏|讲座|捐赠|救灾|记者
ki	课程|开车|考察|扣除|宽敞|卡车
km	科目|昆明|快慢|抠门|开门|看门
kn	可能|困难|苦恼|空难|开年|看你
kq	开启|口腔|况且|空缺|考勤|看清
kt	空调|开通|开头|卡通|课题|课堂
kx	科学|烤箱|看下|款项|狂笑|可惜
lf	浪费|凉粉|理发|零分|联防|立法
md	目的|卖点|骂道|灭顶|名单|面对
mp	门票|名片|满屏|冒泡|抹平|卖票
mr	没人|名人|默认|迷人|骂人|迈入
ms	貌似|民俗|门锁|米色|没事|模式
mt	每天|明天|模特|美团|某天|马桶
mv	每周|某种|忙着|瞄准|明知|瞒着
mw	名为|灭亡|某位|末尾|迷雾|谬误
nb	内部|年报|牛逼|南北|哪边|那波
np	哪怕|奶瓶|女仆|牛皮|涅槃|男排
nw	牛蛙|挪威|哪位|内外|难忘|年尾
pd	片段|判断|频道|平淡|评定|排队
pe	普洱|配额|赔额
pq	脾气|贫穷|片区|派遣|抛弃|票据
pr	烹饪|旁人|骗人|派人|聘任|怕人
ps	配送|菩萨|破碎|怕死|蓬松|拍摄
pt	平台|普通|拼图|旁听|喷嚏|跑腿
pv	配置|拍照|批准|凭证|飘着|炮制
pw	品味|喷雾|排位|跑完|片尾|票务
qa	亲爱|窃案|全案|起岸|前安|去爱
qb	全部|岂不|枪毙|前边|钱包|区别
qe	企鹅|全额|却额|缺额
qf	缺乏|区分|秋风|欠费|拳法|前方
qg	全国|去过|奇怪|切割|缺钙|情感
qh	青海|切换|侵害|权衡|巧合|期货
qj	期间|清洁|全局|清静|穷尽|前进
qk	情况|缺口|切开|乾坤|翘课|全科
ql	起来|强烈|潜力|权力|确立|权利
qv	其中|群众|确诊|墙纸|卡住|全职
qz	茄子|圈子|亲自|签字|取走|签证
ra	热爱|仁爱|扰啊|人啊
rc	如此|揉搓|人才|日常|日程
rd	热点|认定|弱点|柔道|绕道|扔到
rg	如果|人工|日光|绕过|软骨|热狗
rl	人类|热量|日历|热烈|扔了|忍了
rm	人们|人民|入门|人脉|热门|任命
rn	日内|热闹|容纳|仍能|闰年|揉捏
rq	日期|热情|人气|人权|让其|容器
rt	如题|认同|如同|肉体|忍痛|人体
rw	任务|认为|入围|仍未|日文|肉丸
rx	如下|日线|人心|热血|任性|热心
ry	容易|燃油|肉眼|软硬|日夜|人员
rz	融资|日子|仍在|让座|润泽|若再
sc	色彩|四次|算错|桑蚕|市场|收藏
sd	速度|赛道|酸度|僧道|收到|说到
um	什么|说明|睡眠|上面|寿命|声明
sn	三年|思念|酸奶|所能|肆虐|桑拿
